#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2024 Jan 13 23:14:18
F00001	NSO	1957-F01	R3  F       	Vanguard TV-3 Stage 3	GRC 33-KS-2800	1957 Dec  6	L04718	1957 Dec  6 1645	Earth	1957 Dec  6	S	-	NRL	US	GCR	33-KS-2800	-	     198 	 	     22 	 	      22 	 	   1.5 	 	  0.7 	 	    1.5 	 	Cyl	1957 Dec  6	   -6378	 	       0	 	 33.00 	 	ATM	-	-
F00002	NSO	1957-F01	P   F       	Vanguard	Vanguard Test Satellite F	1957 Dec  6	F00001	1957 Dec  6 1645	Earth	1957 Dec  6	S	-	NRL	US	NRL	NRL 6"	-	       2 	 	      2 	 	       2 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1957 Dec  6	   -6378	 	       0	 	 33.00 	 	ATM	-	-
F00003	NSO	1958-F01	R3  F       	Vanguard TV-3BU Stage 3	GRC 33-KS-2800	1958 Feb  5	L04809	1958 Feb  5 0734	Earth	1958 Feb  5	S	-	NRL	US	GCR	33-KS-2800	-	     196 	 	     22 	 	      22 	 	   1.5 	 	  0.7 	 	    1.5 	 	Cyl	1958 Feb  5	   -6378	 	       1	 	 33.00 	 	ATM	-	-
F00004	NSO	1958-F01	P   F       	Vanguard	Vanguard Test Satellite G	1958 Feb  5	F00003	1958 Feb  5 0734	Earth	1958 Feb  5	AS	-	NRL	US	NRL	NRL 6"	-	       2 	 	      2 	 	       2 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1958 Feb  5	   -6378	 	       1	 	 33.00 	 	ATM	-	:UA,:VA
F00005	NSO	1958-F02	R4--F--*    	Cluster 5 Assembly 4	RTV Motor	1958 Mar  5	R02058	1958 Mar  5 1834	Earth	1958 Mar  5	S	-	JPL	US	JPL	RTV Motor	-	       9 	 	      9 	 	       9 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1958 Mar  5	   -3599	 	     379	 	 34.10 	 	SO	-	-
F00006	NSO	1958-F02	P   F       	Explorer II	Explorer 2	1958 Mar  5	F00005	1958 Mar  5 1834	Earth	1958 Mar  5	AS	-	ABMA/JPL	US	JPL	Explorer	-	       5 	 	      5 	 	       5 	 	   0.8 	 	  0.1 	 	    0.8 	 	Cyl	1958 Mar  5	   -3599	 	     379	 	 34.10 	 	SO	-	:UA,:UB,DEAL I:IA
F00007	NSO	1958-F03	R2  F       	8A91 No. B1-2 Stage 2	8K74A	1958 Apr 27	-	1958 Apr 27 0902	Earth	1958 Apr 27	S	-	OKB1	SU	OKB1	Blok-A	-	    7790 	 	   7790 	 	    7800 	?	  28.0 	 	  2.6 	 	   28.0 	 	Cyl	1958 Apr 27	   -6370	?	      30	?	 65.10 	 	ATM	-	-
F00008	NSO	1958-F03	P   F       	ISZ	D No. 1	1958 Apr 27	F00007	1958 Apr 27 0902	Earth	1958 Apr 27	AS	-	NII88	SU	OKB1	Object D	-	    1327 	 	   1327 	 	    1327 	 	   3.6 	 	  1.7 	 	    3.6 	 	Cone	1958 Apr 27	   -6370	?	      30	?	 65.10 	 	ATM	-	-
F00009	NSO	1958-F03	C   F       	GO	Golovniy Obtekatel'	1958 Apr 27	F00007	1958 Apr 27 0902	Earth	1958 Apr 27	AS	-	NII88	SU	OKB1	PS Fairing	-	      10 	?	     10 	?	       0 	?	   0.5 	?	  0.5 	?	    0.5 	?	Cone	1958 Apr 27	   -6370	?	      30	?	 65.10 	 	ATM	-	-
F00010	NSO	1958-F04	R3  F       	Vanguard TV-5 Stage 3	GRC 33-KS-2800	1958 Apr 29	R02112	1958 Apr 29 0257	Earth	1958 Apr 29	S	-	NRL	US	GCR	33-KS-2800	-	     195 	 	     22 	 	      22 	 	   1.5 	 	  0.7 	 	    1.5 	 	Cyl	1958 Apr 28	   -5311	 	     544	 	 35.00 	?	SO	-	-
